1 SVG_dblog_1 copyGplotFile
2 Stromzaehler CONNECTED
1 WetterProplanta fc0_tempMin: .*
1 WetterProplanta fc0_uv: .*
1 WetterProplanta fc0_weather00: heiter
1 WetterProplanta fc0_weather03: wolkig
1 WetterProplanta fc0_weather06: heiter
1 WetterProplanta fc0_weather09: wolkig
1 WetterProplanta fc0_weather12: Regenschauer
1 WetterProplanta fc0_weather15: Regenschauer
1 WetterProplanta fc0_weather18: bedeckt
1 WetterProplanta fc0_weather21: bedeckt
1 WetterProplanta fc0_weatherDay: Regenschauer
1 WetterProplanta fc0_weatherEvening: bedeckt
1 WetterProplanta fc0_weatherMorning: heiter
1 WetterProplanta fc0_weatherNight: bedeckt
1 WetterProplanta fc0_wind00: .*
1 WetterProplanta fc0_wind03: .*
1 WetterProplanta fc0_wind06: .*
1 WetterProplanta fc0_wind09: .*
1 WetterProplanta fc0_wind12: .*
1 WetterProplanta fc0_wind15: .*
1 WetterProplanta fc0_wind18: .*
1 WetterProplanta fc0_wind21: .*
1 WetterProplanta fc0_windDir00: .*
1 WetterProplanta fc0_windDir03: .*
1 WetterProplanta fc0_windDir06: .*
1 WetterProplanta fc0_windDir09: .*
1 WetterProplanta fc0_windDir12: .*
1 WetterProplanta fc0_windDir15: .*
1 WetterProplanta fc0_windDir18: .*
1 WetterProplanta fc0_windDir21: .*
1 WetterProplanta fc1_chOfRain00: .*
1 WetterProplanta fc1_chOfRain03: .*
1 WetterProplanta fc1_chOfRain06: .*
1 WetterProplanta fc1_chOfRain09: .*
1 WetterProplanta fc1_chOfRain12: .*
1 WetterProplanta fc1_chOfRain15: .*
1 WetterProplanta fc1_chOfRain18: .*
1 WetterProplanta fc1_chOfRain21: .*
1 WetterProplanta fc1_chOfRainDay: .*
1 WetterProplanta fc1_chOfRainNight: .*
1 WetterProplanta fc1_cloud00: .*
1 WetterProplanta fc1_cloud03: .*
1 WetterProplanta fc1_cloud06: .*
1 WetterProplanta fc1_cloud09: .*
1 WetterProplanta fc1_cloud12: .*
1 WetterProplanta fc1_cloud15: .*
1 WetterProplanta fc1_cloud18: .*
1 WetterProplanta fc1_cloud21: .*
1 WetterProplanta fc1_date: .*
1 WetterProplanta fc1_dew: .*
1 WetterProplanta fc1_evapor: .*
1 WetterProplanta fc1_frost: .*
1 WetterProplanta fc1_gust00: .*
1 WetterProplanta fc1_gust03: .*
1 WetterProplanta fc1_gust06: .*
1 WetterProplanta fc1_gust09: .*
1 WetterProplanta fc1_gust12: .*
1 WetterProplanta fc1_gust15: .*
1 WetterProplanta fc1_gust18: .*
1 WetterProplanta fc1_gust21: .*
1 WetterProplanta fc1_moonRise: .*
1 WetterProplanta fc1_moonSet: .*
1 WetterProplanta fc1_rad: .*
1 WetterProplanta fc1_rain00: .*
1 WetterProplanta fc1_rain03: .*
1 WetterProplanta fc1_rain06: .*
1 WetterProplanta fc1_rain09: .*
1 WetterProplanta fc1_rain12: .*
1 WetterProplanta fc1_rain15: .*
1 WetterProplanta fc1_rain18: .*
1 WetterProplanta fc1_rain21: .*
1 WetterProplanta fc1_rain: .*
1 WetterProplanta fc1_sun: .*
1 WetterProplanta fc1_sunRise: .*
1 WetterProplanta fc1_sunSet: .*
1 WetterProplanta fc1_temp00: .*
1 WetterProplanta fc1_temp03: .*
1 WetterProplanta fc1_temp06: .*
1 WetterProplanta fc1_temp09: .*
1 WetterProplanta fc1_temp12: .*
1 WetterProplanta fc1_temp15: .*
1 WetterProplanta fc1_temp18: .*
1 WetterProplanta fc1_temp21: .*
1 WetterProplanta fc1_tempMax: .*
1 WetterProplanta fc1_tempMin: .*
1 WetterProplanta fc1_uv: .*
1 WetterProplanta fc1_weather00: Sprühregen
1 WetterProplanta fc1_weather03: bedeckt
1 WetterProplanta fc1_weather06: bedeckt
1 WetterProplanta fc1_weather09: bedeckt
1 WetterProplanta fc1_weather12: stark bewölkt
1 WetterProplanta fc1_weather15: bedeckt
1 WetterProplanta fc1_weather18: bedeckt
1 WetterProplanta fc1_weather21: wolkig
1 WetterProplanta fc1_weatherDay: stark bewölkt
1 WetterProplanta fc1_weatherEvening: bedeckt
1 WetterProplanta fc1_weatherMorning: bedeckt
1 WetterProplanta fc1_weatherNight: stark bewölkt
1 WetterProplanta fc1_wind00: .*
1 WetterProplanta fc1_wind03: .*
1 WetterProplanta fc1_wind06: .*
1 WetterProplanta fc1_wind09: .*
1 WetterProplanta fc1_wind12: .*
1 WetterProplanta fc1_wind15: .*
1 WetterProplanta fc1_wind18: .*
1 WetterProplanta fc1_wind21: .*
1 WetterProplanta fc1_windDir00: .*
1 WetterProplanta fc1_windDir03: .*
1 WetterProplanta fc1_windDir06: .*
1 WetterProplanta fc1_windDir09: .*
1 WetterProplanta fc1_windDir12: .*
1 WetterProplanta fc1_windDir15: .*
1 WetterProplanta fc1_windDir18: .*
1 WetterProplanta fc1_windDir21: .*
1 WetterProplanta fc2_chOfRain00: .*
1 WetterProplanta fc2_chOfRain03: .*
1 WetterProplanta fc2_chOfRain06: .*
1 WetterProplanta fc2_chOfRain09: .*
1 WetterProplanta fc2_chOfRain12: .*
1 WetterProplanta fc2_chOfRain15: .*
1 WetterProplanta fc2_chOfRain18: .*
1 WetterProplanta fc2_chOfRain21: .*
1 WetterProplanta fc2_chOfRainDay: .*
1 WetterProplanta fc2_chOfRainNight: .*
1 WetterProplanta fc2_cloud00: .*
1 WetterProplanta fc2_cloud03: .*
1 WetterProplanta fc2_cloud06: .*
1 WetterProplanta fc2_cloud09: .*
1 WetterProplanta fc2_cloud12: .*
1 WetterProplanta fc2_cloud15: .*
1 WetterProplanta fc2_cloud18: .*
1 WetterProplanta fc2_cloud21: .*
1 WetterProplanta fc2_date: .*
1 WetterProplanta fc2_dew: .*
1 WetterProplanta fc2_evapor: .*
1 WetterProplanta fc2_frost: .*
1 WetterProplanta fc2_gust00: .*
1 WetterProplanta fc2_gust03: .*
1 WetterProplanta fc2_gust06: .*
1 WetterProplanta fc2_gust09: .*
1 WetterProplanta fc2_gust12: .*
1 WetterProplanta fc2_gust15: .*
1 WetterProplanta fc2_gust18: .*
1 WetterProplanta fc2_gust21: .*
1 WetterProplanta fc2_moonRise: .*
1 WetterProplanta fc2_moonSet: .*
1 WetterProplanta fc2_rad: .*
1 WetterProplanta fc2_rain00: .*
1 WetterProplanta fc2_rain03: .*
1 WetterProplanta fc2_rain06: .*
1 WetterProplanta fc2_rain09: .*
1 WetterProplanta fc2_rain12: .*
1 WetterProplanta fc2_rain15: .*
1 WetterProplanta fc2_rain18: .*
1 WetterProplanta fc2_rain21: .*
1 WetterProplanta fc2_rain: .*
1 WetterProplanta fc2_sun: .*
1 WetterProplanta fc2_sunRise: .*
1 WetterProplanta fc2_sunSet: .*
1 WetterProplanta fc2_temp00: .*
1 WetterProplanta fc2_temp03: .*
1 WetterProplanta fc2_temp06: .*
1 WetterProplanta fc2_temp09: .*
1 WetterProplanta fc2_temp12: .*
1 WetterProplanta fc2_temp15: .*
1 WetterProplanta fc2_temp18: .*
1 WetterProplanta fc2_temp21: .*
1 WetterProplanta fc2_tempMax: .*
1 WetterProplanta fc2_tempMin: .*
1 WetterProplanta fc2_uv: .*
1 WetterProplanta fc2_weather00: wolkig
1 WetterProplanta fc2_weather03: stark bewölkt
1 WetterProplanta fc2_weather06: bedeckt
1 WetterProplanta fc2_weather09: bedeckt
1 WetterProplanta fc2_weather12: wolkig
1 WetterProplanta fc2_weather15: wolkig
1 WetterProplanta fc2_weather18: stark bewölkt
1 WetterProplanta fc2_weather21: stark bewölkt
1 WetterProplanta fc2_weatherDay: wolkig
1 WetterProplanta fc2_weatherEvening: stark bewölkt
1 WetterProplanta fc2_weatherMorning: bedeckt
1 WetterProplanta fc2_weatherNight: wolkig
1 WetterProplanta fc2_wind00: .*
1 WetterProplanta fc2_wind03: .*
1 WetterProplanta fc2_wind06: .*
1 WetterProplanta fc2_wind09: .*
1 WetterProplanta fc2_wind12: .*
1 WetterProplanta fc2_wind15: .*
1 WetterProplanta fc2_wind18: .*
1 WetterProplanta fc2_wind21: .*
1 WetterProplanta fc2_windDir00: .*
1 WetterProplanta fc2_windDir03: .*
1 WetterProplanta fc2_windDir06: .*
1 WetterProplanta fc2_windDir09: .*
1 WetterProplanta fc2_windDir12: .*
1 WetterProplanta fc2_windDir15: .*
1 WetterProplanta fc2_windDir18: .*
1 WetterProplanta fc2_windDir21: .*
1 WetterProplanta fc3_chOfRain00: .*
1 WetterProplanta fc3_chOfRain03: .*
1 WetterProplanta fc3_chOfRain06: .*
1 WetterProplanta fc3_chOfRain09: .*
1 WetterProplanta fc3_chOfRain12: .*
1 WetterProplanta fc3_chOfRain15: .*
1 WetterProplanta fc3_chOfRain18: .*
1 WetterProplanta fc3_chOfRain21: .*
1 WetterProplanta fc3_chOfRainDay: .*
1 WetterProplanta fc3_chOfRainNight: .*
1 WetterProplanta fc3_cloud00: .*
1 WetterProplanta fc3_cloud03: .*
1 WetterProplanta fc3_cloud06: .*
1 WetterProplanta fc3_cloud09: .*
1 WetterProplanta fc3_cloud12: .*
1 WetterProplanta fc3_cloud15: .*
1 WetterProplanta fc3_cloud18: .*
1 WetterProplanta fc3_cloud21: .*
1 WetterProplanta fc3_date: .*
1 WetterProplanta fc3_dew: .*
1 WetterProplanta fc3_evapor: .*
1 WetterProplanta fc3_frost: .*
1 WetterProplanta fc3_gust00: .*
1 WetterProplanta fc3_gust03: .*
1 WetterProplanta fc3_gust06: .*
1 WetterProplanta fc3_gust09: .*
1 WetterProplanta fc3_gust12: .*
1 WetterProplanta fc3_gust15: .*
1 WetterProplanta fc3_gust18: .*
1 WetterProplanta fc3_gust21: .*
1 WetterProplanta fc3_moonRise: .*
1 WetterProplanta fc3_moonSet: .*
1 WetterProplanta fc3_rad: .*
1 WetterProplanta fc3_rain00: .*
1 WetterProplanta fc3_rain03: .*
1 WetterProplanta fc3_rain06: .*
1 WetterProplanta fc3_rain09: .*
1 WetterProplanta fc3_rain12: .*
1 WetterProplanta fc3_rain15: .*
1 WetterProplanta fc3_rain18: .*
1 WetterProplanta fc3_rain21: .*
1 WetterProplanta fc3_rain: .*
1 WetterProplanta fc3_sun: .*
1 WetterProplanta fc3_sunRise: .*
1 WetterProplanta fc3_sunSet: .*
1 WetterProplanta fc3_temp00: .*
1 WetterProplanta fc3_temp03: .*
1 WetterProplanta fc3_temp06: .*
1 WetterProplanta fc3_temp09: .*
1 WetterProplanta fc3_temp12: .*
1 WetterProplanta fc3_temp15: .*
1 WetterProplanta fc3_temp18: .*
1 WetterProplanta fc3_temp21: .*
1 WetterProplanta fc3_tempMax: .*
1 WetterProplanta fc3_tempMin: .*
1 WetterProplanta fc3_uv: .*
1 WetterProplanta fc3_weather00: wolkig
1 WetterProplanta fc3_weather03: wolkig
1 WetterProplanta fc3_weather06: bedeckt
1 WetterProplanta fc3_weather09: bedeckt
1 WetterProplanta fc3_weather12: bedeckt
1 WetterProplanta fc3_weather15: bedeckt
1 WetterProplanta fc3_weather18: wolkig
1 WetterProplanta fc3_weather21: bedeckt
1 WetterProplanta fc3_weatherDay: bedeckt
1 WetterProplanta fc3_weatherEvening: wolkig
1 WetterProplanta fc3_weatherMorning: bedeckt
1 WetterProplanta fc3_weatherNight: Regen
1 WetterProplanta fc3_wind00: .*
1 WetterProplanta fc3_wind03: .*
1 WetterProplanta fc3_wind06: .*
1 WetterProplanta fc3_wind09: .*
1 WetterProplanta fc3_wind12: .*
1 WetterProplanta fc3_wind15: .*
1 WetterProplanta fc3_wind18: .*
1 WetterProplanta fc3_wind21: .*
1 WetterProplanta fc3_windDir00: .*
1 WetterProplanta fc3_windDir03: .*
1 WetterProplanta fc3_windDir06: .*
1 WetterProplanta fc3_windDir09: .*
1 WetterProplanta fc3_windDir12: .*
1 WetterProplanta fc3_windDir15: .*
1 WetterProplanta fc3_windDir18: .*
1 WetterProplanta fc3_windDir21: .*
1 WetterProplanta fc4_chOfRain00: .*
1 WetterProplanta fc4_chOfRain03: .*
1 WetterProplanta fc4_chOfRain06: .*
1 WetterProplanta fc4_chOfRain09: .*
1 WetterProplanta fc4_chOfRain12: .*
1 WetterProplanta fc4_chOfRain15: .*
1 WetterProplanta fc4_chOfRain18: .*
1 WetterProplanta fc4_chOfRain21: .*
1 WetterProplanta fc4_chOfRainDay: .*
1 WetterProplanta fc4_chOfRainNight: .*
1 WetterProplanta fc4_cloud00: .*
1 WetterProplanta fc4_cloud03: .*
1 WetterProplanta fc4_cloud06: .*
1 WetterProplanta fc4_cloud09: .*
1 WetterProplanta fc4_cloud12: .*
1 WetterProplanta fc4_cloud15: .*
1 WetterProplanta fc4_cloud18: .*
1 WetterProplanta fc4_cloud21: .*
1 WetterProplanta fc4_date: .*
1 WetterProplanta fc4_dew: .*
1 WetterProplanta fc4_evapor: .*
1 WetterProplanta fc4_frost: .*
1 WetterProplanta fc4_gust00: .*
1 WetterProplanta fc4_gust03: .*
1 WetterProplanta fc4_gust06: .*
1 WetterProplanta fc4_gust09: .*
1 WetterProplanta fc4_gust12: .*
1 WetterProplanta fc4_gust15: .*
1 WetterProplanta fc4_gust18: .*
1 WetterProplanta fc4_gust21: .*
1 WetterProplanta fc4_moonRise: .*
1 WetterProplanta fc4_moonSet: .*
1 WetterProplanta fc4_rad: .*
1 WetterProplanta fc4_rain00: .*
1 WetterProplanta fc4_rain03: .*
1 WetterProplanta fc4_rain06: .*
1 WetterProplanta fc4_rain09: .*
1 WetterProplanta fc4_rain12: .*
1 WetterProplanta fc4_rain15: .*
1 WetterProplanta fc4_rain18: .*
1 WetterProplanta fc4_rain21: .*
1 WetterProplanta fc4_rain: .*
1 WetterProplanta fc4_sun: .*
1 WetterProplanta fc4_sunRise: .*
1 WetterProplanta fc4_sunSet: .*
1 WetterProplanta fc4_temp00: .*
1 WetterProplanta fc4_temp03: .*
1 WetterProplanta fc4_temp06: .*
1 WetterProplanta fc4_temp09: .*
1 WetterProplanta fc4_temp12: .*
1 WetterProplanta fc4_temp15: .*
1 WetterProplanta fc4_temp18: .*
1 WetterProplanta fc4_temp21: .*
1 WetterProplanta fc4_tempMax: .*
1 WetterProplanta fc4_tempMin: .*
1 WetterProplanta fc4_uv: .*
1 WetterProplanta fc4_weather00: bedeckt
1 WetterProplanta fc4_weather03: Regen
1 WetterProplanta fc4_weather06: Regen
1 WetterProplanta fc4_weather09: Regen
1 WetterProplanta fc4_weather12: Regen
1 WetterProplanta fc4_weather15: Regen
1 WetterProplanta fc4_weather18: bedeckt
1 WetterProplanta fc4_weather21: Nebel
1 WetterProplanta fc4_weatherDay: Regen
1 WetterProplanta fc4_weatherEvening: bedeckt
1 WetterProplanta fc4_weatherMorning: Regen
1 WetterProplanta fc4_weatherNight: stark bewölkt
1 WetterProplanta fc4_wind00: .*
1 WetterProplanta fc4_wind03: .*
1 WetterProplanta fc4_wind06: .*
1 WetterProplanta fc4_wind09: .*
1 WetterProplanta fc4_wind12: .*
1 WetterProplanta fc4_wind15: .*
1 WetterProplanta fc4_wind18: .*
1 WetterProplanta fc4_wind21: .*
1 WetterProplanta fc4_windDir00: .*
1 WetterProplanta fc4_windDir03: .*
1 WetterProplanta fc4_windDir06: .*
1 WetterProplanta fc4_windDir09: .*
1 WetterProplanta fc4_windDir12: .*
1 WetterProplanta fc4_windDir15: .*
1 WetterProplanta fc4_windDir18: .*
1 WetterProplanta fc4_windDir21: .*
1 WetterProplanta fc5_chOfRain00: .*
1 WetterProplanta fc5_chOfRain03: .*
1 WetterProplanta fc5_chOfRain06: .*
1 WetterProplanta fc5_chOfRain09: .*
1 WetterProplanta fc5_chOfRain12: .*
1 WetterProplanta fc5_chOfRain15: .*
1 WetterProplanta fc5_chOfRain18: .*
1 WetterProplanta fc5_chOfRain21: .*
1 WetterProplanta fc5_chOfRainDay: .*
1 WetterProplanta fc5_chOfRainNight: .*
1 WetterProplanta fc5_cloud00: .*
1 WetterProplanta fc5_cloud03: .*
1 WetterProplanta fc5_cloud06: .*
1 WetterProplanta fc5_cloud09: .*
1 WetterProplanta fc5_cloud12: .*
1 WetterProplanta fc5_cloud15: .*
1 WetterProplanta fc5_cloud18: .*
1 WetterProplanta fc5_cloud21: .*
1 WetterProplanta fc5_date: .*
1 WetterProplanta fc5_dew: .*
1 WetterProplanta fc5_evapor: .*
1 WetterProplanta fc5_frost: .*
1 WetterProplanta fc5_gust00: .*
1 WetterProplanta fc5_gust03: .*
1 WetterProplanta fc5_gust06: .*
1 WetterProplanta fc5_gust09: .*
1 WetterProplanta fc5_gust12: .*
1 WetterProplanta fc5_gust15: .*
1 WetterProplanta fc5_gust18: .*
1 WetterProplanta fc5_gust21: .*
1 WetterProplanta fc5_moonRise: .*
1 WetterProplanta fc5_moonSet: .*
1 WetterProplanta fc5_rad: .*
1 WetterProplanta fc5_rain00: .*
1 WetterProplanta fc5_rain03: .*
1 WetterProplanta fc5_rain06: .*
1 WetterProplanta fc5_rain09: .*
1 WetterProplanta fc5_rain12: .*
1 WetterProplanta fc5_rain15: .*
1 WetterProplanta fc5_rain18: .*
1 WetterProplanta fc5_rain21: .*
1 WetterProplanta fc5_rain: .*
1 WetterProplanta fc5_sun: .*
1 WetterProplanta fc5_sunRise: .*
1 WetterProplanta fc5_sunSet: .*
1 WetterProplanta fc5_temp00: .*
1 WetterProplanta fc5_temp03: .*
1 WetterProplanta fc5_temp06: .*
1 WetterProplanta fc5_temp09: .*
1 WetterProplanta fc5_temp12: .*
1 WetterProplanta fc5_temp15: .*
1 WetterProplanta fc5_temp18: .*
1 WetterProplanta fc5_temp21: .*
1 WetterProplanta fc5_tempMax: .*
1 WetterProplanta fc5_tempMin: .*
1 WetterProplanta fc5_uv: .*
1 WetterProplanta fc5_weather00: Nebel
1 WetterProplanta fc5_weather03: bedeckt
1 WetterProplanta fc5_weather06: bedeckt
1 WetterProplanta fc5_weather09: bedeckt
1 WetterProplanta fc5_weather12: bedeckt
1 WetterProplanta fc5_weather15: bedeckt
1 WetterProplanta fc5_weather18: bedeckt
1 WetterProplanta fc5_weather21: Regen
1 WetterProplanta fc5_weatherDay: bedeckt
1 WetterProplanta fc5_weatherEvening: bedeckt
1 WetterProplanta fc5_weatherMorning: bedeckt
1 WetterProplanta fc5_weatherNight: Regen
1 WetterProplanta fc5_wind00: .*
1 WetterProplanta fc5_wind03: .*
1 WetterProplanta fc5_wind06: .*
1 WetterProplanta fc5_wind09: .*
1 WetterProplanta fc5_wind12: .*
1 WetterProplanta fc5_wind15: .*
1 WetterProplanta fc5_wind18: .*
1 WetterProplanta fc5_wind21: .*
1 WetterProplanta fc5_windDir00: .*
1 WetterProplanta fc5_windDir03: .*
1 WetterProplanta fc5_windDir06: .*
1 WetterProplanta fc5_windDir09: .*
1 WetterProplanta fc5_windDir12: .*
1 WetterProplanta fc5_windDir15: .*
1 WetterProplanta fc5_windDir18: .*
1 WetterProplanta fc5_windDir21: .*
1 WetterProplanta fc6_chOfRain00: .*
1 WetterProplanta fc6_chOfRain03: .*
1 WetterProplanta fc6_chOfRain06: .*
1 WetterProplanta fc6_chOfRain09: .*
1 WetterProplanta fc6_chOfRain12: .*
1 WetterProplanta fc6_chOfRain15: .*
1 WetterProplanta fc6_chOfRain18: .*
1 WetterProplanta fc6_chOfRain21: .*
1 WetterProplanta fc6_chOfRainDay: .*
1 WetterProplanta fc6_chOfRainNight: .*
1 WetterProplanta fc6_cloud00: .*
1 WetterProplanta fc6_cloud03: .*
1 WetterProplanta fc6_cloud06: .*
1 WetterProplanta fc6_cloud09: .*
1 WetterProplanta fc6_cloud12: .*
1 WetterProplanta fc6_cloud15: .*
1 WetterProplanta fc6_cloud18: .*
1 WetterProplanta fc6_cloud21: .*
1 WetterProplanta fc6_date: .*
1 WetterProplanta fc6_dew: .*
1 WetterProplanta fc6_evapor: .*
1 WetterProplanta fc6_frost: .*
1 WetterProplanta fc6_gust00: .*
1 WetterProplanta fc6_gust03: .*
1 WetterProplanta fc6_gust06: .*
1 WetterProplanta fc6_gust09: .*
1 WetterProplanta fc6_gust12: .*
1 WetterProplanta fc6_gust15: .*
1 WetterProplanta fc6_gust18: .*
1 WetterProplanta fc6_gust21: .*
1 WetterProplanta fc6_moonRise: .*
1 WetterProplanta fc6_moonSet: .*
1 WetterProplanta fc6_rad: .*
1 WetterProplanta fc6_rain00: .*
1 WetterProplanta fc6_rain03: .*
1 WetterProplanta fc6_rain06: .*
1 WetterProplanta fc6_rain09: .*
1 WetterProplanta fc6_rain12: .*
1 WetterProplanta fc6_rain15: .*
1 WetterProplanta fc6_rain18: .*
1 WetterProplanta fc6_rain21: .*
1 WetterProplanta fc6_rain: .*
1 WetterProplanta fc6_sun: .*
1 WetterProplanta fc6_sunRise: .*
1 WetterProplanta fc6_sunSet: .*
1 WetterProplanta fc6_temp00: .*
1 WetterProplanta fc6_temp03: .*
1 WetterProplanta fc6_temp06: .*
1 WetterProplanta fc6_temp09: .*
1 WetterProplanta fc6_temp12: .*
1 WetterProplanta fc6_temp15: .*
1 WetterProplanta fc6_temp18: .*
1 WetterProplanta fc6_temp21: .*
1 WetterProplanta fc6_tempMax: .*
1 WetterProplanta fc6_tempMin: .*
1 WetterProplanta fc6_uv: .*
1 WetterProplanta fc6_weather00: Regen
1 WetterProplanta fc6_weather03: bedeckt
1 WetterProplanta fc6_weather06: Regen
1 WetterProplanta fc6_weather09: Regen
1 WetterProplanta fc6_weather12: bedeckt
1 WetterProplanta fc6_weather15: bedeckt
1 WetterProplanta fc6_weather18: wolkig
1 WetterProplanta fc6_weather21: klar
1 WetterProplanta fc6_weatherDay: bedeckt
1 WetterProplanta fc6_weatherEvening: wolkig
1 WetterProplanta fc6_weatherMorning: Regen
1 WetterProplanta fc6_weatherNight: heiter
1 WetterProplanta fc6_wind00: .*
1 WetterProplanta fc6_wind03: .*
1 WetterProplanta fc6_wind06: .*
1 WetterProplanta fc6_wind09: .*
1 WetterProplanta fc6_wind12: .*
1 WetterProplanta fc6_wind15: .*
1 WetterProplanta fc6_wind18: .*
1 WetterProplanta fc6_wind21: .*
1 WetterProplanta fc6_windDir00: .*
1 WetterProplanta fc6_windDir03: .*
1 WetterProplanta fc6_windDir06: .*
1 WetterProplanta fc6_windDir09: .*
1 WetterProplanta fc6_windDir12: .*
1 WetterProplanta fc6_windDir15: .*
1 WetterProplanta fc6_windDir18: .*
1 WetterProplanta fc6_windDir21: .*
1 WetterProplanta humidity: .*
2 WetterProplanta lastConnection: .* s
1 WetterProplanta obsTime: .*
1 WetterProplanta pressure: .*
1 WetterProplanta state: Error: Could not capture all data. Please check URL or city name.
1 WetterProplanta state: Tmin: .*
1 WetterProplanta temperature: .*
1 WetterProplanta visibility: .*
1 WetterProplanta weather: Regen
1 WetterProplanta wind: .*
1 WetterProplanta windDir: .*
1 at_logdbReduce state: Next: .*
1334 dblog CacheOverflowLastNum: .*
1 dblog reduceLogState: reduceLogNbl .* average include=SYSSTAT:% started
2 dblog state: connected
1 fhemInstaller cpanminusVersion: .*
2 fhemInstaller installedPerl: successful
5 fhemInstaller outdatedPerl: check completed
1 fhemInstaller perlVersion: .*
5 fhemInstaller state: command 'getCpanVersion' in progress
3 fhemInstaller state: command 'outdatedPerl' in progress
6 fhemInstaller state: up to date
6 fhemInstaller state: updates available
4 fhemInstaller updatesAvailablePerl: .*
1 fhemServerApt os-release_BUG_REPORT_URL: https://bugs.debian.org/
1 fhemServerApt os-release_HOME_URL: https://www.debian.org/
1 fhemServerApt os-release_ID: debian
1 fhemServerApt os-release_NAME: Debian GNU/Linux
1 fhemServerApt os-release_PRETTY_NAME: Debian GNU/Linux .* (bullseye)
1 fhemServerApt os-release_SUPPORT_URL: https://www.debian.org/support
1 fhemServerApt os-release_VERSION: .* (bullseye)
1 fhemServerApt os-release_VERSION_CODENAME: bullseye
1 fhemServerApt os-release_VERSION_ID: .*
1 fhemServerApt os-release_language: en
4 fhemServerApt repoSync: fetched done
2 fhemServerApt state: getDistribution in progress
3 fhemServerApt state: repoSync in progress
8 fhemServerApt state: system is up to date
3 fhemServerApt state: system updates available
1 fhemServerApt state: toUpgrade in progress
1 fhemServerApt toUpgrade: successful
2 fhemServerApt updatesAvailable: .*
2 fhemServerNpm installed: successful
2 fhemServerNpm nodejsVersion: .*
5 fhemServerNpm outdated: check completed
1 fhemServerNpm outdated: check failed
2 fhemServerNpm state: command 'npm getNodeVersion' in progress
1 fhemServerNpm state: command 'npm install npm@.*' in progress
3 fhemServerNpm state: command 'npm outdated' in progress
1 fhemServerNpm state: error 'outdated'
6 fhemServerNpm state: npm is up to date
4 fhemServerNpm state: npm updates available
1 fhemServerNpm uninstalled: successful
3 fhemServerNpm updatesAvailable: .*
38 sysstat /opt/fhem: .*
2357 sysstat cpufreq: .*
2357 sysstat load: .*
2357 sysstat state: .*
2357 sysstat temperature: .*
